boys together Science announced 1
admired decay The world 1
were gay Round us 1
its shame Like the 1
a plume Life was 1
that stung The world 1
were young They twisted 1
of honour but we 1
not ashamed Weak if 1
not thus When that 1
bitter sea Fools as 1
were heard Not all 1
flags unfurled Some giants 1
the world I find 1
cleaner things And the 1
of grass Or sane 1
of pain Yea cool 1
unto day But we 1
were young we lived 1
bitter charms God and 1
blind believed This is 1
pistol flash The doubts 1
but you yea who 1
shall understand The doubts 1
the brain Between us 1
be told Yea there 1
growing old We have 1
of sunset It was 1
brick throughout its sky 1
was wild It had 1
were identical It was 1
any art But although 1
quite indisputable The stranger 1
to them Nor when 1
this respect The place 1
a dream Even if 1
nevertheless artistic That young 1
a poet but surely 1
a poem That old 1
a philosopher but at 1
in others That scientific 1
he assumed He had 1
in biology but what 1
than himself Thus and 1
be regarded it had 1
of art A man 1
written comedy More especially 1
drifting cloud This again 1
monstrous fruit And this 1
the hero It was 1
the hero On many 1
to women The attitude 1
the place Most of 1
male supremacy Yet these 1
is talking And Mr 1
of it He put 1
momentary pleasure He was 1
was worth His dark 1
Raphaelite picture From within 1
cockney contempt This combination 1
neurotic population He seemed 1
the ape This particular 1
strange sunset It looked 1
the world All the 1
palpable plumage you could 1
the face Across the 1
pale green but towards 1
be seen The whole 1
violent secrecy The very 1
a secret It expressed 1
local patriotism The very 1
seemed small I say 1
oppressive sky There are 1
Saffron Park For a 1
a rival it was 1
suddenly ended The new 1
yellow hair But an 1
he looked He signalised 1
of poetry He said 1
of order nay he 1
of respectability So all 1
impossible sky In fact 1
respectable poet You say 1
of law I say 1
in terms I only 1
this garden The man 1
submissive solemnity The third 1
family oracle Gregory resumed 1
words anywhere An anarchist 1
an artist The man 1
to everything He sees 1
shapeless policemen An artist 1
all conventions The poet 1
disorder only If it 1
and tired I will 1
tell you It is 1
going right It is 1
will reach It is 1
but Victoria Oh their 1
wild rapture oh their 1
your poetry The rare 1
the mark the gross 1
miss it We feel 1
distant bird Is it 1
distant station Chaos is 1
to Bagdad But man 1
and lo it is 1
and prose let me 1
of pride Take your 1
of man give me 1
his victories Give me 1
you go inquired Gregory 1
against chaos You say 1
to Victoria I say 1
hairbreadth escape And when 1
unmeaning word It is 1
announcing conquest It is 1
indeed Victoria it is 1
of Adam Gregory wagged 1
got there You think 1
New Jerusalem We know 1
like Victoria Yes the 1
of heaven The poet 1
in revolt You might 1
sea sick Being sick 1
a revolt Both being 1
desperate occasions but I 1
are poetical Revolt in 1
is revolting It s 1
mere vomiting The girl 1
all poetry Yes the 1
all conventions For the 1
this lawn Syme looked 1
would do Gregory s 1
your pardon said Syme 1
my anarchism cried Gregory 1
dear fellow said Syme 1
strolled away With surprise 1
they say Do you 1
say now Syme smiled 1
Do you he asked 1
you mean asked the 1
and insincerity When you 1
mean it Now sometimes 1
does mean It may 1
tenth truth but then 1
meaning it She was 1
level brows her face 1
anarchist then she asked 1
that nonsense She drew 1
of thing Syme broke 1
Lord no he said 1
done anonymously And at 1
his safety Syme strolled 1
his opinions For he 1
humble one And it 1
too much the proud 1
too closely He defended 1
and exaggeration He grew 1
and propriety All the 1
round him Once he 1
the world He stared 1
few minutes and then 1
his feet To his 1
garden empty Everyone had 1
hurried apology He left 1
afterwards explain In the 1
at all he never 1
was over And yet 1
the night For what 1
a dream When Syme 1
moment empty Then he 1
dead one Directly outside 1
behind him About a 1
post itself The tall 1
were black the face 1
as dark Only a 1
poet Gregory He had 1
his foe He made 1
About what asked Syme 1
weak wonder Gregory struck 1
and anarchy There is 1
and barren and there 1
the lamp I wonder 1
the tree Then after 1
for ever The silence 1
something serious Gregory began 1
rather remarkable You did 1
doing it The captain 1
at Southend You have 1
it out If I 1
it out There is 1
I choose I am 1
neglected truth Gregory stared 1
me serious You think 1
occasional truths You do 1
am serious Syme struck 1
Good Lord is this 1
street serious Are these 1
lanterns serious Is the 1
caboodle serious One comes 1
or religion Syme stood 1
a religion Is it 1
the police Will you 1
swear that If you 1
in return inquired Syme 1
entertaining evening Syme suddenly 1
be declined You say 1
an anarchist I disagree 1
a sportsman Permit me 1
the police And now 1
a cab He gave 1
the road The two 1
in silence Gregory gave 1
the river The cab 1
his companion They seated 1
wooden leg The room 1
little supper asked Gregory 1
the game Syme received 1
a joke Accepting the 1
lobster mayonnaise To his 1
Certainly sir and went 1
you drink resumed Gregory 1
menthe myself I have 1
be trusted Do let 1
Thank you said the 1
very good His further 1
the lobster Syme tasted 1
particularly good Then he 1
rather obviously he said 1
like this It is 1
a lobster It is 1
your existence Ah here 1
your champagne I admit 1
unpretentious exterior But that 1
our modesty We are 1
are we asked Syme 1
answered Gregory Then after 1
the champagne I don 1
either condition May I 1
of mine Syme took 1
of smoke It is 1
of screw How simple 1
that is The next 1
swallowed them They went 1
the bottom But when 1
yellow hair Gregory led 1
red light It was 1
iron door In the 1
five times A heavy 1
he was To this 1
Joseph Chamberlain The heavy 1
to move it was 1
of password Inside the 1
of steel On a 1
steel weapons With his 1
of death They passed 1
lecture theatre There were 1
iron birds They were 1
